date,name,grade
2013-05-04,Dragonair,4
2013-05-04,Nidoran,22
2013-05-04,Shellder,18
2013-05-04,Golem,16
2013-05-04,Kangaskhan,54
2013-05-04,Persian,55
2013-05-04,Snorlax,15
2013-05-04,Magikarp,99
2013-05-04,Moltres,71
2013-05-04,Ivysaur,11
2008-02-17,Dragonair,72
2008-02-17,Nidoran,90
2008-02-17,Shellder,75
2008-02-17,Golem,2
2008-02-17,Kangaskhan,47
2008-02-17,Persian,18
2008-02-17,Snorlax,35
2008-02-17,Magikarp,94
2008-02-17,Moltres,65
2008-02-17,Ivysaur,68
1972-10-24,Dragonair,74
1972-10-24,Nidoran,64
1972-10-24,Shellder,72
1972-10-24,Golem,33
1972-10-24,Kangaskhan,72
1972-10-24,Persian,77
1972-10-24,Snorlax,61
1972-10-24,Magikarp,80
1972-10-24,Moltres,53
1972-10-24,Ivysaur,43
1970-06-16,Dragonair,61
1970-06-16,Nidoran,29
1970-06-16,Shellder,27
1970-06-16,Golem,26
1970-06-16,Kangaskhan,30
1970-06-16,Persian,94
1970-06-16,Snorlax,90
1970-06-16,Magikarp,22
1970-06-16,Moltres,83
1970-06-16,Ivysaur,11
2016-10-17,Dragonair,60
2016-10-17,Nidoran,93
2016-10-17,Shellder,63
2016-10-17,Golem,4
2016-10-17,Kangaskhan,27
2016-10-17,Persian,3
2016-10-17,Snorlax,14
2016-10-17,Magikarp,82
2016-10-17,Moltres,24
2016-10-17,Ivysaur,8
2015-12-21,Dragonair,45
2015-12-21,Nidoran,78
2015-12-21,Shellder,61
2015-12-21,Golem,36
2015-12-21,Kangaskhan,74
2015-12-21,Persian,21
2015-12-21,Snorlax,42
2015-12-21,Magikarp,32
2015-12-21,Moltres,66
2015-12-21,Ivysaur,49
2007-03-16,Dragonair,47
2007-03-16,Nidoran,82
2007-03-16,Shellder,16
2007-03-16,Golem,15
2007-03-16,Kangaskhan,44
2007-03-16,Persian,64
2007-03-16,Snorlax,75
2007-03-16,Magikarp,31
2007-03-16,Moltres,64
2007-03-16,Ivysaur,24
1971-03-16,Dragonair,47
1971-03-16,Nidoran,57
1971-03-16,Shellder,65
1971-03-16,Golem,81
1971-03-16,Kangaskhan,43
1971-03-16,Persian,35
1971-03-16,Snorlax,26
1971-03-16,Magikarp,40
1971-03-16,Moltres,27
1971-03-16,Ivysaur,36
1997-02-13,Dragonair,93
1997-02-13,Nidoran,9
1997-02-13,Shellder,65
1997-02-13,Golem,8
1997-02-13,Kangaskhan,40
1997-02-13,Persian,60
1997-02-13,Snorlax,0
1997-02-13,Magikarp,29
1997-02-13,Moltres,21
1997-02-13,Ivysaur,63
1974-03-12,Dragonair,27
1974-03-12,Nidoran,38
1974-03-12,Shellder,56
1974-03-12,Golem,10
1974-03-12,Kangaskhan,98
1974-03-12,Persian,24
1974-03-12,Snorlax,82
1974-03-12,Magikarp,3
1974-03-12,Moltres,50
1974-03-12,Ivysaur,29
2004-12-05,Dragonair,26
2004-12-05,Nidoran,82
2004-12-05,Shellder,90
2004-12-05,Golem,66
2004-12-05,Kangaskhan,21
2004-12-05,Persian,15
2004-12-05,Snorlax,55
2004-12-05,Magikarp,66
2004-12-05,Moltres,26
2004-12-05,Ivysaur,31
2013-07-06,Dragonair,86
2013-07-06,Nidoran,83
2013-07-06,Shellder,70
2013-07-06,Golem,10
2013-07-06,Kangaskhan,17
2013-07-06,Persian,55
2013-07-06,Snorlax,54
2013-07-06,Magikarp,75
2013-07-06,Moltres,59
2013-07-06,Ivysaur,88
1970-09-01,Dragonair,100
1970-09-01,Nidoran,47
1970-09-01,Shellder,27
1970-09-01,Golem,54
1970-09-01,Kangaskhan,10
1970-09-01,Persian,2
1970-09-01,Snorlax,7
1970-09-01,Magikarp,27
1970-09-01,Moltres,87
1970-09-01,Ivysaur,27
1993-07-30,Dragonair,40
1993-07-30,Nidoran,88
1993-07-30,Shellder,41
1993-07-30,Golem,23
1993-07-30,Kangaskhan,78
1993-07-30,Persian,20
1993-07-30,Snorlax,63
1993-07-30,Magikarp,69
1993-07-30,Moltres,73
1993-07-30,Ivysaur,50
1973-09-16,Dragonair,87
1973-09-16,Nidoran,77
1973-09-16,Shellder,56
1973-09-16,Golem,75
1973-09-16,Kangaskhan,86
1973-09-16,Persian,84
1973-09-16,Snorlax,15
1973-09-16,Magikarp,6
1973-09-16,Moltres,5
1973-09-16,Ivysaur,96
2015-02-15,Dragonair,61
2015-02-15,Nidoran,63
2015-02-15,Shellder,92
2015-02-15,Golem,81
2015-02-15,Kangaskhan,5
2015-02-15,Persian,21
2015-02-15,Snorlax,25
2015-02-15,Magikarp,72
2015-02-15,Moltres,97
2015-02-15,Ivysaur,98
1988-03-19,Dragonair,12
1988-03-19,Nidoran,1
1988-03-19,Shellder,77
1988-03-19,Golem,45
1988-03-19,Kangaskhan,83
1988-03-19,Persian,9
1988-03-19,Snorlax,65
1988-03-19,Magikarp,42
1988-03-19,Moltres,61
1988-03-19,Ivysaur,40
1996-06-18,Dragonair,8
1996-06-18,Nidoran,8
1996-06-18,Shellder,32
1996-06-18,Golem,38
1996-06-18,Kangaskhan,15
1996-06-18,Persian,43
1996-06-18,Snorlax,6
1996-06-18,Magikarp,54
1996-06-18,Moltres,64
1996-06-18,Ivysaur,93
2006-10-29,Dragonair,36
2006-10-29,Nidoran,72
2006-10-29,Shellder,74
2006-10-29,Golem,98
2006-10-29,Kangaskhan,32
2006-10-29,Persian,58
2006-10-29,Snorlax,98
2006-10-29,Magikarp,94
2006-10-29,Moltres,44
2006-10-29,Ivysaur,32
2002-11-13,Dragonair,90
2002-11-13,Nidoran,7
2002-11-13,Shellder,76
2002-11-13,Golem,3
2002-11-13,Kangaskhan,72
2002-11-13,Persian,57
2002-11-13,Snorlax,67
2002-11-13,Magikarp,28
2002-11-13,Moltres,44
2002-11-13,Ivysaur,97
2008-08-31,Dragonair,40
2008-08-31,Nidoran,10
2008-08-31,Shellder,45
2008-08-31,Golem,78
2008-08-31,Kangaskhan,30
2008-08-31,Persian,86
2008-08-31,Snorlax,6
2008-08-31,Magikarp,62
2008-08-31,Moltres,91
2008-08-31,Ivysaur,66
2010-05-01,Dragonair,18
2010-05-01,Nidoran,16
2010-05-01,Shellder,85
2010-05-01,Golem,25
2010-05-01,Kangaskhan,41
2010-05-01,Persian,78
2010-05-01,Snorlax,77
2010-05-01,Magikarp,26
2010-05-01,Moltres,44
2010-05-01,Ivysaur,58
1980-02-11,Dragonair,11
1980-02-11,Nidoran,50
1980-02-11,Shellder,38
1980-02-11,Golem,48
1980-02-11,Kangaskhan,99
1980-02-11,Persian,53
1980-02-11,Snorlax,77
1980-02-11,Magikarp,76
1980-02-11,Moltres,92
1980-02-11,Ivysaur,96
1978-05-31,Dragonair,6
